Name,Species,percent_overlap,intersect_area,union_area,overlap_init_perspective,overlap_final_perspective,centroid_distance
f_AAM01_1,Northern green sturgeon,99.9998669113,6671515361.12,6671524240.16,100.000000032,99.9998669422,0.000120437742066
f_AAM01_2,Northern green sturgeon,99.9999525328,2348676105.6,2348677220.45,99.9999525144,100.000000021,2.19328517815e-05
f_AAM01_16,Northern green sturgeon,99.9998669113,6671515361.12,6671524240.16,100.000000032,99.9998669422,0.000120437742066
f_AAT01_1,White sturgeon,99.9955087495,21521952241.1,21522918889.3,99.995558754,99.9999499949,0.0165972636377
f_AAT01_2,White sturgeon,99.9998860213,1652242525.82,1652244409.02,99.9999999756,99.999886047,5.87030649888e-05
f_AAT01_16,White sturgeon,99.995907984,23594576275.7,23595541809.1,99.9959488719,99.9999591125,0.0146730598777
f_CAI01_16,Sacramento perch,99.9991193171,54225873918.5,54226351480.7,100.000000001,99.9991193172,0.00100645459456
f_CAI01_17,Sacramento perch,98.047637706,2201616028.76,2245455454.38,98.0476376893,100.000000019,5.20886722192
f_CCA02_1,Prickly sculpin,99.9696552012,69668471952.3,69689619127.0,99.9999227089,99.9697324971,0.0475261884314
f_CCA02_1,Prickly sculpin,99.9696552012,69668471952.3,69689619127.0,99.9999227089,99.9697324971,0.0475261884314
f_CCA02_2,Prickly sculpin,94.9699074775,3471325633.99,3655184811.9,99.9724709494,94.9947500502,10.3242342929
f_CCA02_16,Prickly sculpin,99.9700564329,70602284675.4,70623431850.1,99.9999237311,99.9701327072,0.0467707237427
f_CCA02_17,Prickly sculpin,99.666432843,1703249152.36,1708949647.11,99.9990388915,99.6673876334,0.135970166298
f_CCA04_1,Coastrange sculpin,99.6714401035,19713181326.1,19778164442.7,99.7778351587,99.8931310517,0.334425754943
f_CCA04_2,Coastrange sculpin,99.9532502896,2062716407.5,2063681172.47,99.9536803273,99.9995695499,0.0348977006861
f_CCA04_16,Coastrange sculpin,99.7372695733,24668778192.1,24733761308.7,99.8223855571,99.9145811236,0.234625040315
f_CCB01_2,Shortnose sucker,99.9890003212,3680706231.79,3681111142.2,99.9999999949,99.9890003309,0.00481828640406
f_CCF01_17,Owens sucker,99.9991661549,1963268789.6,1963285160.36,99.9991661518,99.9999999971,0.000696468528267
f_CCG01_1,Riffle sculpin,99.9990941444,53042120791.3,53042601280.6,99.9999944829,99.9990996618,0.00206478362036
f_CCG01_2,Riffle sculpin,97.2180411217,4486222440.51,4614598678.14,100.000000015,97.2180411112,4.51817784197
f_CCG01_16,Riffle sculpin,99.9990998119,53376068392.0,53376548881.3,99.9999945175,99.9991052947,0.00204329841719
